symbol,scale,bin,n_windows,mean_q,mean_r,ci_lo,ci_hi,sd_r,frac_zero_r,mean_duration_s,interior_bin
BTCUSDT,N=25000,0,156.0,-1341.2809230769224,-0.0027939671580137103,-0.0030250465237777486,-0.002565802292394524,0.001466879307917045,0.0,221.30317307692317,false
BTCUSDT,N=25000,1,232.0,-811.5690603448276,-0.0023947790595104964,-0.002634678256837531,-0.002161033499199095,0.0015456665535176952,0.0,228.3390862068966,false
BTCUSDT,N=25000,2,388.0,-623.3777603092778,-0.002403525085813006,-0.002576936722033144,-0.0022349711760310687,0.0015147652972239375,0.0,254.41924226804133,false
BTCUSDT,N=25000,3,776.0,-466.3148788659796,-0.0020827258226076956,-0.002206289826718371,-0.0019593044668735154,0.0014887173933991412,0.0,298.62915335051554,false
BTCUSDT,N=25000,4,1551.0,-333.5737530625398,-0.0018387685155707653,-0.0019284206350141128,-0.0017511580245250945,0.0014174583147883242,0.0006447453255963894,428.97621470019277,true
BTCUSDT,N=25000,5,2326.0,-224.95316122097992,-0.0015229904871904723,-0.001600172984072464,-0.0014486318036111335,0.0014054723678099735,0.0,485.5969088564059,true
BTCUSDT,N=25000,6,2327.0,-150.85638246669546,-0.0012163538227403256,-0.0012915731326456985,-0.001148724410946518,0.0014213753566505618,0.0004297378599054577,530.5597163730121,true
BTCUSDT,N=25000,7,3102.0,-94.14108736299173,-0.000861814242045122,-0.0009292280059613939,-0.0008022671024605164,0.0013716705374090478,0.0003223726627981947,570.7905938104441,true
BTCUSDT,N=25000,8,3102.0,-43.356239522888444,-0.00043065079766673467,-0.0004949174899017748,-0.00037272544474189123,0.0014051225462729346,0.0012894906511927789,566.7255338491317,true
BTCUSDT,N=25000,9,3102.0,2.681101869761434,-7.323028733971981e-6,-0.00005437128777936996,0.00004429530488429843,0.0013589610155473858,0.0003223726627981947,553.3351586073502,false
BTCUSDT,N=25000,10,3102.0,47.558395228884656,0.00038364748642943025,0.000325657751523922,0.00044018366533374076,0.0013900327631703251,0.0006447453255963894,557.1147333978078,true
BTCUSDT,N=25000,11,3102.0,98.15423823339759,0.0008046768356643689,0.0007396825757702159,0.000878514030014634,0.0014229365612948167,0.0003223726627981947,551.0263181818186,true
BTCUSDT,N=25000,12,2327.0,155.37979501504103,0.0012426498042897292,0.0011586123663775674,0.0013309564339988131,0.0014277896068157201,0.0,521.1670593038252,true
BTCUSDT,N=25000,13,2326.0,227.58497334479785,0.001465009775932372,0.0013831427748283735,0.0015510675467598396,0.001454738665298801,0.0,485.1936349957003,true
BTCUSDT,N=25000,14,1551.0,337.85288072211466,0.0018414650157000314,0.0017336394493084263,0.0019482598275241043,0.0015186488277777054,0.0,389.82921598968386,true
BTCUSDT,N=25000,15,776.0,475.05675128866,0.0021681242528002074,0.0020378756504470965,0.0022954785164908736,0.0016516965601627359,0.0,316.09710824742245,false
BTCUSDT,N=25000,16,388.0,624.8740077319588,0.0024333652879692373,0.0022552992838629836,0.0025919521767436902,0.0015652724307822583,0.0,261.5569948453606,false
